'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
1830;46315;999;'';'';'';;;;;40597;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46307;999;'';'';'';;;;;16577;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46307;999;'';'';'';;;;;24333;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46307;999;'';'';'';;;;;25825;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46307;999;'';'';'';;;;;;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46307;999;'';'';'';;;;;17449;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46328;999;'';'';'';;;;;4902;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46328;999;'';'';'';;;;;5270;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46328;999;'';'';'';;;;;5593;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46328;999;'';'';'';;;;;;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46328;999;'';'';'';;;;;3390;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46392;999;'';'';'';;;;;3602;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46392;999;'';'';'';;;;;3701;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46392;999;'';'';'';;;;;5923;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46392;999;'';'';'';;;;;6043;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46392;999;'';'';'';;;;;3835;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46359;999;'';'';'';;;;;5478;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46359;999;'';'';'';;;;;5580;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46359;999;'';'';'';;;;;3929;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46359;999;'';'';'';;;;;4009;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46359;999;'';'';'';;;;;5781;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
