'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
4;53148;999;'';'';'';;;;;3223;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;53334;999;'';'';'';;;;;4915;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;44157;999;'';'';'';;;;;122115;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;44341;999;'';'';'';;;;;166398;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;44670;999;'';'';'';;;;;233965;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;44842;999;'';'';'';;;;;177087;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;46199;999;'';'';'';;;;;91038;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;46426;999;'';'';'';;;;;48962;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;46706;999;'';'';'';;;;;67149;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;46949;999;'';'';'';;;;;38991;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;47192;999;'';'';'';;;;;49280;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;48091;999;'';'';'';;;;;32375;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;48786;999;'';'';'';;;;;135131;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;49114;999;'';'';'';;;;;119556;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;49641;999;'';'';'';;;;;39418;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;49895;999;'';'';'';;;;;82188;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;50132;999;'';'';'';;;;;105013;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;50591;999;'';'';'';;;;;105639;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;50940;999;'';'';'';;;;;96185;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;51442;999;'';'';'';;;;;65270;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;51817;999;'';'';'';;;;;70405;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;52117;999;'';'';'';;;;;45663;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;52318;999;'';'';'';;;;;62762;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;52521;999;'';'';'';;;;;146835;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;52883;999;'';'';'';;;;;135132;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;52933;999;'';'';'';;;;;104899;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;52958;999;'';'';'';;;;;226426;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;53021;999;'';'';'';;;;;55992;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;53056;999;'';'';'';;;;;68840;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
5;53095;999;'';'';'';;;;;166358;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
